Season,Month,Year,MuncipalityCd,Establishment,LicenseNumber,VGTCount,AmoutPlayed,AmountWon,NetWager,FundsIn,FundsOut,NTI,NTITaxRate,StateShare,MuncipalityShare,NetWagePerMachine
Winter,1,2014,2,"Pita Hut, Inc.",120712914,3,1261.74,1442.14,-180.4,618,798.32,-180.32,-54.09,-45.07,-9.02,-60.13333333
Winter,1,2018,2,Canal Corporation,160702201,2,1024.9,1126.1,-101.2,154,255.2,-101.2,-30.36,-25.3,-5.06,-50.6
Winter,1,2017,2,"GRAHAM ENTERPRISES OF CENTRAL ILLINOIS, LLC",150702576,4,5649.58,5731.18,-81.6,1818,1899.6,-81.6,-24.46,-20.38,-4.08,-20.4
Winter,1,2015,2,"DMI Enterprises, Ltd",130701650,3,4781.45,4850.77,-69.32,1605,1674.32,-69.32,-20.8,-17.33,-3.47,-23.10666667
Winter,1,2019,2,Rodems Golf Management LLC,170702073,2,90.8,116.05,-25.25,52,77.25,-25.25,-7.58,-6.32,-1.26,-12.625
Winter,1,2014,2,Hallie & Glenn Inc.,120706651,3,11545.05,11547.49,-2.44,3545,3547.44,-2.44,-0.71,-0.59,-0.12,-0.813333333
Winter,1,2015,2,"BANDO ENTERTAINMENT, LLC",140700606,3,2641.77,2637.04,4.73,868,863.27,4.73,1.42,1.18,0.24,1.576666667
Winter,1,2015,1,"Edgewood Golf Course, Inc.",130704749,3,2325.91,2320.7,5.21,758,752.79,5.21,1.57,1.31,0.26,1.736666667
Winter,1,2016,3,MMC Entertainment LLC,150703676,5,165,109.8,55.2,130,74.8,55.2,16.56,13.8,2.76,11.04
Winter,1,2014,3,CAFE COCO LLC,130700693,3,2649.65,2517.15,132.5,763,630.5,132.5,39.75,33.12,6.63,44.16666667
Winter,1,2017,2,"KING OF CLUBS, INC.",180704586,2,3174.71,3034.35,140.36,895,754.64,140.36,42.11,35.09,7.02,70.18
Winter,1,2017,2,MS. DS KITCHEN BAR & GRILL INC.,150703951,3,13347.65,13187.42,160.23,6954,6793.77,160.23,48.06,40.05,8.01,53.41
Winter,1,2015,2,"CATE & JESS ENTERPRISES, LLC",130705160,3,15660.53,15496.15,164.38,3998,3833.62,164.38,49.33,41.11,8.22,54.79333333
Winter,1,2017,2,"D.H. Brown, Inc.",120706285,4,26210.79,25948.3,262.49,9445,9182.51,262.49,78.75,65.62,13.13,65.6225
Winter,1,2019,2,Engrained Brewing Company LLC,150702740,3,12654.99,12375.9,279.09,4538,4259.21,278.79,83.64,69.7,13.94,93.03
Winter,1,2019,2,Arlingtons LLC,140700636,2,3600.13,3274.14,325.99,1599,1273.01,325.99,97.82,81.51,16.31,162.995
Winter,1,2015,2,"Homespun Republic, LLC",120707911,3,3406.31,2969.58,436.73,1622,1185.12,436.88,131.04,109.2,21.84,145.5766667
Winter,1,2014,2,"The Corkscrew Wine Emporium, LTD.",130702720,5,11215.99,10756.34,459.65,4077,3617.35,459.65,137.92,114.93,22.99,91.93
Winter,1,2017,2,NAVY CLUB OF SANGAMON SHIP NO. 32 BUILDING CORPORATION,130705862,2,8606.56,8119.73,486.83,3546,3059.17,486.83,146.06,121.72,24.34,243.415
Winter,1,2017,1,"Edgewood Golf Course, Inc.",130704749,3,2597.55,2097.28,500.27,1046,545.73,500.27,150.08,125.07,25.01,166.7566667
Winter,1,2019,2,Capitol Holdings LTD.,120708868,4,8417.88,7870.69,547.19,3145,2597.97,547.03,164.1,136.75,27.35,136.7975
Winter,1,2017,2,"HERITAGE DEVELOPMENT COMPANY OF ILLINOIS, INC.",160701566,4,35113.85,34532.07,581.78,12088,11506.48,581.52,174.48,145.4,29.08,145.445
Winter,1,2016,2,KIKU JAPANESE STEAK & SEAFOOD HOUSE LTD.,150701011,3,10640.5,10053.04,587.46,2895,2307.54,587.46,176.24,146.87,29.37,195.82
Winter,1,2016,2,"Fairview Restarante, LLC",150700174,3,15129.91,14527.77,602.14,8423,7820.86,602.14,180.61,150.51,30.1,200.7133333
Winter,1,2019,1,"Edgewood Golf Course, Inc.",130704749,3,4503.99,3893.59,610.4,1713,1102.7,610.3,183.14,152.62,30.52,203.4666667
Winter,1,2019,3,"The Raceway Bar & Sports Complex, LLC",150702811,5,9066.81,8418.07,648.74,3571,2922.26,648.74,194.65,162.21,32.44,129.748
Winter,1,2014,2,"HIDEOUT RESTAURANT, LLC",130706051,5,8300.08,7631.91,668.17,2884,2215.83,668.17,200.45,167.04,33.41,133.634
Winter,1,2018,1,"Edgewood Golf Course, Inc.",130704749,3,4396.94,3692.02,704.92,1329,624.08,704.92,211.52,176.26,35.26,234.9733333
Winter,1,2018,2,MS. DS KITCHEN BAR & GRILL INC.,150703951,3,6166.01,5419.39,746.62,2216,1469.38,746.62,223.97,186.64,37.33,248.8733333
Winter,1,2018,2,Arlingtons LLC,140700636,2,4964.47,4174.03,790.44,2218,1427.61,790.39,237.12,197.6,39.52,395.22
Winter,1,2014,2,"WILFREE, INCORPORATED",120708005,3,18252.29,17430.33,821.96,6151,5329.04,821.96,246.62,205.52,41.1,273.9866667
Winter,1,2018,2,NAVY CLUB OF SANGAMON SHIP NO. 32 BUILDING CORPORATION,130705862,2,13796.44,12869.09,927.35,4668,3740.65,927.35,278.23,231.86,46.37,463.675
